iter	Passed	Remaining
635	4766	2727
636	4774	2720
637	4781	2712
638	4789	2705
639	4796	2697
640	4804	2690
641	4811	2682
642	4818	2675
643	4825	2667
644	4832	2659
645	4840	2652
646	4847	2644
647	4854	2637
648	4861	2629
649	4869	2621
650	4875	2613
651	4883	2606
652	4890	2598
653	4897	2590
654	4904	2583
655	4912	2575
656	4919	2568
657	4925	2559
658	4931	2551
659	4937	2543
660	4943	2535
661	4949	2527
662	4956	2519
663	4962	2510
664	4968	2503
665	4974	2494
666	4981	2486
667	4987	2478
668	4993	2470
669	5000	2462
670	5006	2454
671	5011	2446
672	5018	2438
673	5023	2429
674	5030	2421
675	5036	2413
676	5042	2405
677	5049	2398
678	5054	2389
679	5062	2382
680	5069	2374
681	5074	2366
682	5081	2358
683	5087	2350
684	5094	2342
685	5100	2334
686	5107	2326
687	5113	2319
688	5120	2311
689	5126	2303
690	5133	2295
691	5139	2287
692	5145	2279
693	5151	2271
694	5157	2263
695	5164	2255
696	5171	2248
697	5178	2240
698	5185	2233
699	5192	2225
700	5200	2218
701	5208	2211
702	5217	2204
703	5224	2196
704	5232	2189
705	5240	2182
706	5248	2175
707	5255	2167
708	5262	2159
709	5269	2152
710	5279	2145
711	5285	2138
712	5292	2130
713	5298	2122
714	5305	2114
715	5312	2107
716	5319	2099
717	5327	2092
718	5333	2084
719	5339	2076
720	5347	2069
721	5353	2061
722	5360	2053
723	5365	2045
724	5371	2037
725	5377	2029
726	5383	2021
727	5389	2013
728	5396	2006
729	5401	1997
730	5407	1989
731	5413	1981
732	5418	1973
733	5425	1966
734	5432	1958
735	5439	1951
736	5446	1943
737	5453	1936
738	5461	1928
739	5467	1921
740	5475	1913
741	5482	1906
742	5490	1899
743	5497	1891
744	5504	1883
745	5511	1876
746	5518	1869
747	5525	1861
748	5532	1854
749	5540	1846
750	5547	1839
751	5554	1831
752	5562	1824
753	5569	1817
754	5577	1809
755	5583	1802
756	5590	1794
757	5596	1786
758	5602	1778
759	5608	1771
760	5613	1763
761	5620	1755
762	5625	1747
763	5631	1739
764	5637	1731
765	5643	1723
766	5649	1716
767	5656	1708
768	5662	1700
769	5668	1693
770	5674	1685
771	5680	1677
772	5687	1670
773	5693	1662
774	5699	1654
775	5705	1646
776	5711	1639
777	5717	1631
778	5723	1623
779	5728	1615
780	5735	1608
781	5740	1600
782	5747	1592
783	5754	1585
784	5760	1577
785	5768	1570
786	5776	1563
787	5783	1555
788	5790	1548
789	5797	1541
790	5804	1533
791	5811	1526
792	5820	1519
793	5827	1511
794	5834	1504
795	5841	1497
796	5848	1489
797	5856	1482
798	5863	1475
799	5871	1467
800	5878	1460
801	5886	1453
802	5893	1445
803	5900	1438
804	5907	1430
805	5914	1423
806	5920	1415
807	5925	1408
808	5932	1400
809	5938	1392
810	5943	1385
811	5950	1377
812	5956	1370
813	5962	1362
814	5969	1355
815	5975	1347
816	5982	1340
817	5988	1332
818	5994	1324
819	6000	1317
820	6007	1309
821	6015	1302
822	6022	1295
823	6029	1287
824	6036	1280
825	6043	1273
826	6050	1265
827	6057	1258
828	6065	1251
829	6072	1243
830	6081	1236
831	6087	1229
832	6094	1221
833	6101	1214
834	6108	1207
835	6115	1199
836	6123	1192
837	6131	1185
838	6138	1177
839	6146	1170
840	6153	1163
841	6160	1155
842	6170	1149
843	6179	1142
844	6189	1135
845	6199	1128
846	6208	1121
847	6218	1114
848	6227	1107
849	6249	1102
850	6260	1096
851	6270	1089
852	6281	1082
853	6291	1075
854	6303	1068
855	6313	1062
856	6324	1055
857	6334	1048
858	6342	1041
859	6352	1034
860	6358	1026
861	6366	1019
862	6372	1011
863	6380	1004
864	6386	996
865	6393	989
866	6400	981
867	6406	974
868	6412	966
869	6418	959
870	6424	951
871	6431	944
872	6437	936
873	6442	928
874	6449	921
875	6456	913
876	6464	906
877	6470	899
878	6476	891
879	6483	884
880	6489	876
881	6495	869
882	6501	861
883	6507	853
884	6514	846
885	6520	838
886	6526	831
887	6532	823
888	6538	816
889	6544	808
890	6550	801
891	6556	793
892	6562	786
893	6568	778
894	6574	771
895	6582	763
896	6587	756
897	6594	749
898	6601	741
899	6606	734
900	6613	726
901	6619	719
902	6625	711
903	6631	704
904	6636	696
905	6644	689
906	6650	681
907	6657	674
908	6664	667
909	6670	659
910	6677	652
911	6684	644
912	6690	637
913	6697	630
914	6704	622
915	6711	615
916	6717	608
917	6725	600
918	6732	593
919	6738	585
920	6745	578
921	6752	571
922	6759	563
923	6766	556
924	6773	549
925	6779	541
926	6786	534
927	6794	527
928	6801	519
929	6808	512
930	6814	505
931	6819	497
932	6826	490
933	6831	482
934	6838	475
935	6844	467
936	6849	460
937	6856	453
938	6861	445
939	6867	438
940	6874	431
941	6879	423
942	6886	416
943	6893	408
944	6898	401
945	6906	394
946	6912	386
947	6918	379
948	6924	372
949	6930	364
950	6936	357
951	6942	350
952	6948	342
953	6954	335
954	6959	327
955	6965	320
956	6972	313
957	6978	305
958	6983	298
959	6990	291
960	6996	283
961	7002	276
962	7009	269
963	7014	261
964	7021	254
965	7027	247
966	7032	240
967	7039	232
968	7045	225
969	7051	218
970	7057	210
971	7063	203
972	7069	196
973	7074	188
974	7080	181
975	7087	174
976	7092	166
977	7098	159
978	7106	152
979	7111	145
980	7118	137
981	7124	130
982	7130	123
983	7137	116
984	7144	108
985	7150	101
986	7156	94
987	7162	86
988	7169	79
989	7174	72
990	7180	65
991	7187	57
992	7193	50
993	7199	43
994	7205	36
995	7210	28
996	7217	21
997	7224	14
998	7230	7
999	7238	0
